Approximate Knowledge Data Request||||||||||
Category|Sub Category|No.|Product Image|Name|GEM|Price|Product Details|Size Variants|Star Rating|Del Options
|Jeans|1|5054390499406|Acid Wash Skinny Jeans|GEM320213 |£16.00|"Rock that on-trend acid wash style this season with these cool skinny jeans. The perfect staple that will give any outfit a ton of attitude, you’ll love transforming your look with these edgy jeans this winter.

•  Zip and button fly fastening
•  Twin front and back pockets"|"8 12 14 18 20 6 Short 8 Short 10 Short 12 Short 14 Short 16 Short 18 Short 20 Short 22 Short 6 Regular 10 Regular 16 Regular 22 Regular 24 Regular 8 Long 10 Long 12 Long 14 Long 16 Long 18 Long 20 Long 22 Long"|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||2|5054390499130|Skinny Jeans|GEM320164 |£16.00|"Invest in an eminently wearable new staple with these great skinny jeans. These are the perfect pick for a versatile new key that you’ll be dressing up and down again and again this season.

•  Twin front and back pockets
•  Zip and button fly fastening"|8 12 14 18 20 6 Short 8 Short 10 Short 12 Short 14 Short 16 Short 18 Short 20 Short 22 Short 6 Regular 10 Regular 16 Regular 22 Regular 24 Regular 8 Long 10 Long 12 Long 14 Long 16 Long 18 Long 20 Long 22 Long|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||3|5054390499673|Distressed Skinny Jeans|GEM320128 |£18.00|"Mix up your casual wardrobe with these trendy distressed skinny jeans. Perfect for acing that authentic and laidback look, these jeans will demand attention whether you’re heading out with friends or visiting family. 

•  Zip and button fly fastening
•  Twin front and back pockets"|8 12 14 18 20 6 Short 8 Short 10 Short 12 Short 14 Short 16 Short 18 Short 20 Short 22 Short 6 Regular 10 Regular 16 Regular 22 Regular 24 Regular 8 Long 10 Long 12 Long 14 Long 16 Long 18 Long 20 Long 22 Long|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||4|5054390498867|Skinny Jeans|GEM320127 |£16.00|"Invest in an eminently wearable new staple with these great skinny jeans. These are the perfect pick for a versatile key piece that you’ll be dressing up and down again and again this season.

•  Twin front and back pockets
•  Zip and button fly fastening"|8 12 14 18 20 6 Short 8 Short 10 Short 12 Short 14 Short 16 Short 18 Short 20 Short 22 Short 6 Regular 10 Regular 16 Regular 22 Regular 24 Regular 8 Long 10 Long 12 Long 14 Long 16 Long 18 Long 20 Long 22 Long|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||5|5054390334172|Wonderfit Cropped Jeans|GEM318298 |£16.00|"Invest in a smart new staple this season with this amazing Wonderfit cropped jeans. With fabric that alters size with you and stretches to fit multiple sizes, these are a fabulous addition to any wardrobe.

•  Zip and button fly fastening
•  Twin back pockets
•  Twin front mock pockets"|XS,S,M,L,XL,XXL|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||6|5054390334110|Wonderfit Cropped Jeans|GEM318294 |£16.00|"Invest in a smart new staple this season with this amazing Wonderfit cropped jeans. With fabric that alters size with you and stretches to fit multiple sizes, these are a fabulous addition to any wardrobe.

•  Zip and button fly fastening
•  Twin back pockets
•  Twin front mock pockets"|XS,S,M,L,XL,XXL|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||7|5054390130224|Wonderfit Skinny Jeans|GEM316241 |£18.00|"Exactly what it says on the tin, these skinny jeans have been tailored to ensure they fit you wonderfully. Crafted using stretch fabric these jeans alter size with you and will hug your curves in all the right places, ensuring that even when you’re dressed casually you look show-stoppingly good.

•  Zip and button fly fastening
•  Twin back pockets
•  Mock front pockets"|XS,S,M,L,XL,XXL|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||8|5054390108551|Acid Wash Jeggings|GEM315707 |£10.00|"Flatter your figure and stay comfortable every day with our essential jeggings. The acid wash style is big this season so they make the ideal on-trend pair of bottoms for every fashionista.

•  Elastic waist"|6,4,8,10,12,14,16,18,20,22,24,26,28|5|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||9|5054390108674|Acid Wash Jeggings|GEM315700 |£10.00|"Flatter your figure and stay comfortable every day with our essential jeggings. The acid wash style is big this season so they make the ideal on-trend pair of bottoms for every fashionista.

•  Elastic waist"|6,4,8,10,12,14,16,18,20,22,24,26,28|5|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
||10|5054390108674|Fashion Snake Print Jeggings|GEM313933 |£14.00|"Slip into a sassy new staple with these fashion snake print jeggings this season. These trend-setting jeggings are guaranteed to have you turning heads and with an elasticated waistband, you’ll be kept comfy all day. 

•  Twin back pockets
•  Elasticated waistband"|8 12 14 18 20 6 Short 8 Short 10 Short 12 Short 14 Short 16 Short 18 Short 20 Short 22 Short 6 Regular 10 Regular 16 Regular 22 Regular 24 Regular 8 Long 10 Long 12 Long 14 Long 16 Long 18 Long 20 Long 22 Long|No Review|"UK Delivery Information
Standard delivery (3-5) days
£2.95
Named day delivery
£4.50
Next working day
£4.50
Free standard delivery when you spend £45 or more.
This offer applies to clothing only. Delivery slots subject to availability."
